Date,MSCI_H,MSCI_UH,BGAG_H,BGAG_UH
31/12/1989,155.82,567.34,100,100
31/01/1990,147.83,539.94,98.518111,98.655653
28/02/1990,142.92,515.89,98.327346,98.143399
31/03/1990,137.28,483.82,98.347627,97.623463
30/04/1990,134.85,475.92,97.74755,97.113942
31/05/1990,146.57,525.1,100.490373,100.195332
30/06/1990,143.83,520.41,101.768843,102.04956
31/07/1990,140.94,524.18,102.871809,104.731833
31/08/1990,125.84,474.13,101.447055,103.677281
30/09/1990,110.56,423.14,101.860265,104.640946
31/10/1990,117.55,461.64,103.679186,107.956086
30/11/1990,116.22,453.05,105.695805,109.932549
31/12/1990,119.1,461.53,107.167317,111.218554
31/01/1991,121.38,477.39,108.665163,113.617745
28/02/1991,133.16,520.57,109.883475,114.165558
31/03/1991,134.76,504.26,110.405248,111.700222
30/04/1991,134.86,507.24,111.420304,112.975882
31/05/1991,137.84,517.76,112.1607,113.334071
30/06/1991,130.52,484.85,111.893208,112.396104
31/07/1991,134.98,506.78,113.198108,114.524546
31/08/1991,133.81,504.2,115.353098,116.867278
30/09/1991,134,516.43,117.500865,120.70825
31/10/1991,135.55,523.82,118.670312,122.146376
30/11/1991,128.05,499.99,119.456218,123.646432
31/12/1991,133.21,535.36,122.41813,129.056519
31/01/1992,132.21,524.45,121.774777,127.064593
28/02/1992,131.21,514.4,122.423782,127.059159
31/03/1992,125.84,489.18,121.760681,125.971294
30/04/1992,127.06,494.99,122.469701,126.79086
31/05/1992,129.11,513.67,124.398494,130.379683
30/06/1992,122.04,495.42,125.530391,133.348187
31/07/1992,121.17,495.64,127.209469,136.093409
31/08/1992,121.36,506.64,128.107398,138.982921
30/09/1992,120.89,500.95,129.627161,139.469159
31/10/1992,121.43,486.38,129.347024,136.342247
30/11/1992,125,494.11,129.345864,135.05074
31/12/1992,125.84,497.13,131.134875,136.543385
31/01/1993,126.05,497.83,133.239704,138.886876
28/02/1993,128.09,508.67,135.60593,141.080099
31/03/1993,133.06,537.2,135.994423,142.61067
30/04/1993,136.41,561.12,136.651541,144.65515
31/05/1993,138.02,573.07,137.033387,145.639651
30/06/1993,137.65,567.29,139.603355,146.391401
31/07/1993,140.86,578.02,140.659548,146.439819
31/08/1993,146.33,603.56,143.303469,150.174793
30/09/1993,143.04,591.44,143.766406,151.474112
31/10/1993,148.25,606.77,144.799538,151.617204
30/11/1993,140.35,571.49,144.301979,150.269986
31/12/1993,147.91,598.5,145.88488,151.669876
31/01/1994,156.08,637.01,146.911589,153.466799
28/02/1994,151.52,627.79,144.101787,151.538097
31/03/1994,143.66,599.74,141.40777,149.698572
30/04/1994,146.83,617.3,140.395277,149.337132
31/05/1994,147.99,617.91,139.680509,148.503398
30/06/1994,143.75,615.19,138.944857,149.500734
31/07/1994,146.98,625.89,141.055108,151.673671
31/08/1994,150.97,643.74,140.625088,151.491958
30/09/1994,145.27,625.81,139.402618,151.245256
31/10/1994,147.25,642.57,139.57505,152.838021
30/11/1994,143.21,613.68,140.150007,151.314371
31/12/1994,144.6,618.59,140.661556,152.020428
31/01/1995,141.42,608.26,142.916236,155.200621
28/02/1995,141.95,616.07,145.618589,159.032497
31/03/1995,142.33,644.67,147.173685,164.35135
30/04/1995,146.38,666.04,149.353532,166.916126
31/05/1995,148.41,670.63,154.558689,172.064497
30/06/1995,147.9,669.32,155.004889,173.244438
31/07/1995,155.98,701.69,155.666899,174.047128
31/08/1995,158.24,684.96,157.370465,171.927649
30/09/1995,161.74,703.8,159.131595,175.118388
31/10/1995,160.19,691.6,161.055961,177.211995
30/11/1995,166.57,714.51,163.895017,179.321225
31/12/1995,171.39,734.28,165.991149,181.911549
31/01/1996,177.55,746.45,167.511384,181.211763
28/02/1996,177.09,749.86,165.014977,179.555616
31/03/1996,180.49,761.18,164.834155,179.006672
30/04/1996,185.17,777.93,165.19386,178.181432
31/05/1996,185.99,777.44,165.396184,178.345361
30/06/1996,187.24,780.2,167.292526,180.44774
31/07/1996,178.38,751.45,168.083563,182.795774
31/08/1996,180.97,758.9,168.710098,183.164746
30/09/1996,189.85,787.44,171.978593,185.15788
31/10/1996,190.89,791.75,175.332631,189.20997
30/11/1996,201.52,834.93,178.563802,192.170396
31/12/1996,199.02,820.36,177.734601,190.835029
31/01/1997,206.53,829.08,178.895268,187.762719
28/02/1997,209.66,837.44,179.611353,186.879582
31/03/1997,205.6,819.68,178.042767,185.130198
30/04/1997,214.87,845.28,180.40486,185.545255
31/05/1997,224.1,896.24,181.893884,188.83635
30/06/1997,235.09,939.75,184.404234,190.884919
31/07/1997,250.03,981.84,188.413416,191.757353
31/08/1997,233.47,914.97,187.527265,191.322946
30/09/1997,245.48,963.49,190.534111,195.200596
31/10/1997,230.3,911.57,192.575148,198.748511
30/11/1997,237.34,926.5,193.715413,197.667427
31/12/1997,242.7,936.59,195.80374,198.060896
31/01/1998,249.68,961.49,198.41311,199.941984
28/02/1998,265.44,1025.3,199.028094,201.037476
31/03/1998,279.03,1067.35,200.14579,200.518299
30/04/1998,279.67,1076.53,201.099207,203.009853
31/05/1998,278.04,1061.79,203.306462,204.426285
30/06/1998,285.08,1085.74,204.703076,204.815147
31/07/1998,285.4,1082.74,205.869128,206.030083
31/08/1998,245.6,937.09,209.393487,210.348332
30/09/1998,244.96,952.39,214.154666,220.314561
31/10/1998,262.65,1037.21,213.559424,223.131282
30/11/1998,281.22,1097.62,215.332787,221.782073
31/12/1998,291.31,1149.95,214.934335,225.213986
31/01/1999,300.72,1173.84,217.58689,224.319561
28/02/1999,296.32,1141.33,214.862306,217.650894
31/03/1999,309.32,1187.54,216.559477,217.944109
30/04/1999,322.82,1233.06,218.211157,217.723554
31/05/1999,312.96,1186.7,216.953829,214.55238
30/06/1999,328.49,1240.75,214.962837,211.437535
31/07/1999,322.03,1235.7,214.069241,214.689608
31/08/1999,320.86,1232.16,214.229143,214.35036
30/09/1999,315.13,1218.9,215.518899,216.988906
31/10/1999,331.76,1280.94,216.089413,216.664331
30/11/1999,344.09,1315.68,216.859874,214.292848
31/12/1999,371.91,1420.89,216.623891,213.559708
31/01/2000,355.02,1338.25,216.230934,209.913684
29/02/2000,359.52,1340.58,218.287384,209.515849
31/03/2000,381.06,1431.94,221.196945,213.708383
30/04/2000,372.65,1370.11,221.390837,208.486743
31/05/2000,363.71,1334.14,221.972806,209.452034
30/06/2000,371.64,1377.72,224.732998,214.762549
31/07/2000,366.37,1337.65,226.486674,212.618083
31/08/2000,381.52,1379.87,228.148873,211.678933
30/09/2000,362.35,1305.24,230.00339,212.281848
31/10/2000,360.75,1282.14,231.72556,210.555362
30/11/2000,338.27,1203.05,235.624732,214.175098
31/12/2000,337.09,1221.25,239.019083,220.342711
31/01/2001,346.04,1244.22,242.295689,221.401367
28/02/2001,318.84,1137.88,244.428376,221.765396
31/03/2001,303.5,1061.26,246.039205,217.223916
30/04/2001,324.51,1138.09,244.856917,216.961864
31/05/2001,321.73,1121.09,246.315148,217.368488
30/06/2001,313.39,1084.79,247.547376,215.844149
31/07/2001,306.47,1069.67,251.209707,220.789417
31/08/2001,286.7,1016.73,253.550359,227.435667
30/09/2001,260.83,926.02,255.588753,229.200337
31/10/2001,267.17,943.2,260.238043,231.27172
30/11/2001,283.51,997.93,258.064399,228.58379
31/12/2001,286.4,1003.52,256.327364,223.806616
31/01/2002,280.62,972.42,257.534347,221.796049
28/02/2002,277.4,962.73,258.90345,223.286804
31/03/2002,287.96,1003.6,256.164238,221.967302
30/04/2002,274.21,968.25,259.611708,228.536519
31/05/2002,270.5,967.85,260.832082,233.66248
30/06/2002,248.68,907.81,263.545485,241.797766
31/07/2002,227.38,830.55,266.302444,243.973542
31/08/2002,227.28,830.58,270.121411,247.954746
30/09/2002,201.8,738.18,273.746681,250.694643
31/10/2002,216.45,791.88,273.048596,249.980654
30/11/2002,227.71,833.47,273.377358,250.634737
31/12/2002,212.47,792.21,277.998241,260.793646
31/01/2003,204.34,767.48,279.27704,263.724438
28/02/2003,200.58,752.86,282.076197,267.134963
31/03/2003,198.96,748.63,281.833804,267.802058
30/04/2003,215.01,813.3,283.365456,271.237213
31/05/2003,223.62,857.65,288.253669,280.878321
30/06/2003,227.83,871.07,287.325321,277.832626
31/07/2003,233.95,887.78,281.39859,269.737545
31/08/2003,239.15,905.32,281.268399,269.120287
30/09/2003,234.97,909.64,286.225493,282.054655
31/10/2003,247.47,962.71,283.529026,280.481473
30/11/2003,248.74,976.02,283.931514,284.135737
31/12/2003,259.8,1036.32,286.643333,293.418827
31/01/2004,263.9,1052.29,288.313377,294.514051
29/02/2004,268.15,1068.65,291.211667,296.031517
31/03/2004,265.08,1059.16,292.673893,299.310468
30/04/2004,263.47,1035.66,288.182373,288.366521
31/05/2004,263.13,1042.63,287.390235,289.779646
30/06/2004,268.21,1062.51,287.90186,290.626492
31/07/2004,260.19,1026.99,289.883393,290.566236
31/08/2004,260.08,1029.63,294.514291,296.925886
30/09/2004,263.08,1047.86,295.766138,300.434671
31/10/2004,266.13,1072.7,297.948044,307.631341
30/11/2004,274.68,1127.34,298.566978,315.782572
31/12/2004,283.66,1169.34,300.673373,320.62095
31/01/2005,280.68,1142.35,302.949012,317.246725
28/02/2005,287.33,1176.7,301.680053,317.850572
31/03/2005,283.82,1151.18,302.149947,314.00517
30/04/2005,276.76,1123.64,305.900904,318.114474
31/05/2005,285.75,1140.68,308.882633,313.85263
30/06/2005,290.15,1148.81,311.513455,312.445088
31/07/2005,300.94,1188.16,309.803664,309.943438
31/08/2005,300.74,1194.81,312.890851,315.044836
30/09/2005,310.27,1224.31,311.400303,310.029211
31/10/2005,304.34,1193.88,309.442903,305.414142
30/11/2005,316.69,1231.41,310.914505,303.246291
31/12/2005,323.52,1257.78,313.542151,306.239797
31/01/2006,334.11,1313.21,313.290165,310.10279
28/02/2006,334.96,1309.45,314.194664,309.002953
31/03/2006,342.62,1335.07,311.446582,305.939817
30/04/2006,345.57,1373.38,310.341767,311.730912
31/05/2006,329.54,1322.25,311.330168,315.751603
30/06/2006,331.08,1319.93,311.29518,313.242872
31/07/2006,333.07,1327.23,314.961126,316.363418
31/08/2006,341.27,1358.87,319.673548,320.019013
30/09/2006,347.32,1373.37,321.973492,319.995138
31/10/2006,358.23,1422.93,323.698745,323.09061
30/11/2006,361.97,1455.17,326.499795,330.959289
31/12/2006,371.49,1483.58,324.940373,326.571958
31/01/2007,378.22,1500.23,324.810624,323.36227
28/02/2007,373.55,1490.44,328.888011,330.016609
31/03/2007,378.63,1514.18,328.761449,330.796696
30/04/2007,391.55,1577.86,329.78178,334.535571
31/05/2007,403.73,1616.87,327.559258,329.319331
30/06/2007,399.6,1602.36,326.342295,327.858768
31/07/2007,387.28,1565.81,329.644405,334.517008
31/08/2007,386.64,1561.59,333.418642,338.635835
30/09/2007,398.16,1633.58,334.896435,346.236022
31/10/2007,406.65,1682.35,337.714324,351.879424
30/11/2007,388.63,1610.94,341.507228,358.603998
31/12/2007,385.34,1588.8,342.252547,357.534923
31/01/2008,352.56,1466.35,347.902601,367.466779
29/02/2008,345.87,1455.56,348.914983,373.613641
31/03/2008,337.23,1437.4,348.703477,381.235228
30/04/2008,356.71,1508.99,346.809907,373.958346
31/05/2008,360.79,1525.73,343.619476,369.823203
30/06/2008,330.36,1402.13,342.528654,370.138179
31/07/2008,323.97,1366.7,345.067863,370.647971
31/08/2008,326.8,1344.86,348.500727,364.521788
30/09/2008,291.27,1182.44,345.345033,355.945399
31/10/2008,245.09,957.25,343.078336,342.824485
30/11/2008,229.65,892.93,352.384544,352.737259
31/12/2008,231.72,920.23,361.345362,374.653242
31/01/2009,215.25,838.83,358.239459,362.401647
28/02/2009,195.69,750.86,358.19479,354.305625
31/03/2009,207.65,805.22,361.32715,362.459461
30/04/2009,228.61,893.02,362.840687,365.719959
31/05/2009,240.88,970,363.425858,378.772388
30/06/2009,240.35,964.05,366.758265,380.339441
31/07/2009,258.16,1044.75,371.641746,388.761883
31/08/2009,267.24,1085.6,375.454449,395.590792
30/09/2009,275.01,1126.98,378.626409,404.044789
31/10/2009,268.61,1106.17,379.424568,405.943132
30/11/2009,276.28,1149.01,383.246922,416.279897
31/12/2009,285.85,1168.47,379.73013,400.616595
31/01/2010,275.44,1119.54,383.619821,402.271506
28/02/2010,280.24,1133.35,385.431729,402.570893
31/03/2010,297.67,1200.53,386.175085,399.528223
30/04/2010,297.88,1198.56,388.327025,399.592496
31/05/2010,274.95,1079.8,391.33331,393.346354
30/06/2010,263.05,1041.32,394.90487,399.371097
31/07/2010,278.21,1124.83,398.117053,412.941699
31/08/2010,268.31,1080.7,404.725448,418.688751
30/09/2010,286.7,1179.19,403.821536,428.514353
31/10/2010,294.6,1222.23,403.459946,433.895397
30/11/2010,293.13,1193.56,399.120005,417.378354
31/12/2010,309.53,1280.07,397.248721,422.828807
31/01/2011,315.3,1308.08,396.018052,423.58977
28/02/2011,323.94,1351.65,396.73961,426.083589
31/03/2011,318.9,1334.93,396.438892,428.090335
30/04/2011,325.44,1388.62,400.033161,441.359083
31/05/2011,320.01,1354.61,403.917265,441.012846
30/06/2011,314.35,1331.18,403.115192,441.347272
31/07/2011,305.38,1306.05,407.64587,450.457498
31/08/2011,284,1211.22,412.621,456.186721
30/09/2011,266.49,1104.06,415.084923,445.645473
31/10/2011,289.35,1217.3,414.677314,451.577531
30/11/2011,284.98,1184.6,412.426893,443.696893
31/12/2011,286.23,1182.59,418.69984,446.688863
31/01/2012,298.41,1240.89,422.837078,454.165327
29/02/2012,311.8,1298.72,424.365687,453.856414
31/03/2012,316.41,1312.01,423.751638,450.588291
30/04/2012,310.73,1293.99,426.392471,455.905353
31/05/2012,288.99,1177.64,430.831104,451.225087
30/06/2012,300.95,1235.72,430.124505,453.381922
31/07/2012,304.69,1250.57,435.953446,458.626716
31/08/2012,310.07,1279.21,436.988898,462.586939
30/09/2012,316.07,1311.5,438.721227,468.226527
31/10/2012,314.33,1301.52,439.959354,467.568899
30/11/2012,318.23,1315.49,442.17741,467.51981
31/12/2012,323.82,1338.5,442.631768,465.979979
31/01/2013,340.84,1405.47,440.204965,461.741578
28/02/2013,345.22,1405.18,442.874217,457.366562
31/03/2013,353.5,1434.51,445.163074,456.205096
30/04/2013,362.45,1476.14,450.048008,462.550844
31/05/2013,366.38,1471.93,443.634122,448.799062
30/06/2013,356.92,1433.55,437.459598,443.486699
31/07/2013,373.57,1507.91,439.192327,449.058211
